time,open,high,low,close
2025-08-01T00:00:00Z,1.1,2.1306,-0.081,2.117
2025-08-01T00:30:00Z,2.117,3.3376,1.5867,2.7515
2025-08-01T01:00:00Z,2.7515,4.2161,1.2767,1.4782
2025-08-01T01:30:00Z,1.4782,2.2133,0.4638,1.0534
2025-08-01T02:00:00Z,1.0534,1.7964,0.3429,1.1366
2025-08-01T02:30:00Z,1.1366,2.5945,0.3667,0.5273
2025-08-01T03:00:00Z,0.5273,1.1574,-0.6051,-0.0802
2025-08-01T03:30:00Z,-0.0802,1.0295,-1.4671,-1.3387
2025-08-01T04:00:00Z,-1.3387,-0.4959,-2.792,-2.5054
2025-08-01T04:30:00Z,-2.5054,-1.719,-3.6105,-2.0578
2025-08-01T05:00:00Z,-2.0578,-0.822,-2.641,-1.3927
2025-08-01T05:30:00Z,-1.3927,-0.7371,-2.8925,-2.0839
2025-08-01T06:00:00Z,-2.0839,-1.0391,-2.6234,-1.5106
2025-08-01T06:30:00Z,-1.5106,-0.388,-2.5659,-0.9513
2025-08-01T07:00:00Z,-0.9513,-0.378,-2.4512,-0.4242
2025-08-01T07:30:00Z,-0.4242,0.2232,-1.7214,-1.4625
2025-08-01T08:00:00Z,-1.4625,-0.5316,-2.7562,-2.0684
2025-08-01T08:30:00Z,-2.0684,-0.579,-3.4373,-3.2222
2025-08-01T09:00:00Z,-3.2222,-2.0263,-4.2184,-3.1527
2025-08-01T09:30:00Z,-3.1527,-2.2973,-4.4496,-2.4223
2025-08-01T10:00:00Z,-2.4223,-1.2065,-3.1477,-2.063
2025-08-01T10:30:00Z,-2.063,-1.0133,-3.0038,-2.7043
2025-08-01T11:00:00Z,-2.7043,-1.8518,-4.034,-2.9361
2025-08-01T11:30:00Z,-2.9361,-1.7492,-4.1163,-2.6793
2025-08-01T12:00:00Z,-2.6793,-1.5115,-3.4695,-2.8082
2025-08-01T12:30:00Z,-2.8082,-1.6934,-3.7011,-2.2503
2025-08-01T13:00:00Z,-2.2503,-1.0242,-2.9245,-1.1218
2025-08-01T13:30:00Z,-1.1218,0.1596,-2.1371,-1.063
2025-08-01T14:00:00Z,-1.063,-0.401,-2.4269,-1.2878
2025-08-01T14:30:00Z,-1.2878,-0.303,-2.1617,-0.8651
2025-08-01T15:00:00Z,-0.8651,0.4301,-2.0558,0.1196
2025-08-01T15:30:00Z,0.1196,0.8352,-0.4814,-0.2394
2025-08-01T16:00:00Z,-0.2394,0.8718,-0.8208,-0.7435
2025-08-01T16:30:00Z,-0.7435,0.2576,-1.7209,-0.3294
2025-08-01T17:00:00Z,-0.3294,0.3545,-1.52,-0.782
2025-08-01T17:30:00Z,-0.782,0.2446,-1.8844,-0.155
2025-08-01T18:00:00Z,-0.155,1.1237,-1.2675,0.9159
2025-08-01T18:30:00Z,0.9159,2.04,-0.4256,0.256
2025-08-01T19:00:00Z,0.256,0.8079,-1.0125,-0.51
2025-08-01T19:30:00Z,-0.51,0.6935,-1.9988,-1.2364
2025-08-01T20:00:00Z,-1.2364,-0.4777,-1.9979,-0.489
2025-08-01T20:30:00Z,-0.489,0.2233,-1.9436,-0.9163
2025-08-01T21:00:00Z,-0.9163,-0.3925,-1.7436,-0.4065
2025-08-01T21:30:00Z,-0.4065,0.1402,-1.1858,-0.4535
2025-08-01T22:00:00Z,-0.4535,0.3299,-1.3922,-1.0633
2025-08-01T22:30:00Z,-1.0633,0.1102,-2.094,-1.3424
2025-08-01T23:00:00Z,-1.3424,-0.456,-2.799,-2.4252
2025-08-01T23:30:00Z,-2.4252,-1.3969,-3.3299,-2.9872
2025-08-02T00:00:00Z,-2.9872,-2.4041,-4.3605,-3.0697
2025-08-02T00:30:00Z,-3.0697,-2.3623,-4.1307,-3.3931
2025-08-02T01:00:00Z,-3.3931,-2.4686,-4.2521,-2.8008
2025-08-02T01:30:00Z,-2.8008,-1.5359,-3.3638,-1.7845
2025-08-02T02:00:00Z,-1.7845,-0.4344,-2.617,-0.9165
2025-08-02T02:30:00Z,-0.9165,0.2232,-1.6732,-0.2514
2025-08-02T03:00:00Z,-0.2514,0.2887,-1.2058,-0.2532
2025-08-02T03:30:00Z,-0.2532,1.0805,-1.3465,0.1291
