time,open,high,low,close
2025-08-01T00:00:00Z,1.1,2.0439,0.4434,1.7036
2025-08-01T04:00:00Z,1.7036,2.2149,0.4905,0.7369
2025-08-01T08:00:00Z,0.7369,1.4073,-0.1003,1.2821
2025-08-01T12:00:00Z,1.2821,2.2462,0.0586,1.7971
2025-08-01T16:00:00Z,1.7971,2.7887,0.8011,1.0619
2025-08-01T20:00:00Z,1.0619,1.8054,-0.2083,0.1052
2025-08-02T00:00:00Z,0.1052,1.4653,-0.6042,-0.5125
2025-08-02T04:00:00Z,-0.5125,0.1073,-1.0459,-0.2086
2025-08-02T08:00:00Z,-0.2086,0.3612,-1.5628,-0.9144
2025-08-02T12:00:00Z,-0.9144,-0.1075,-1.8624,-1.7488
2025-08-02T16:00:00Z,-1.7488,-0.7035,-2.662,-2.1973
2025-08-02T20:00:00Z,-2.1973,-0.8374,-3.0946,-2.0165
2025-08-03T00:00:00Z,-2.0165,-1.4966,-2.9762,-2.9345
2025-08-03T04:00:00Z,-2.9345,-2.1071,-4.1107,-3.5163
2025-08-03T08:00:00Z,-3.5163,-2.0905,-4.5853,-2.2378
2025-08-03T12:00:00Z,-2.2378,-1.2204,-3.2271,-1.4434
2025-08-03T16:00:00Z,-1.4434,-0.7607,-2.6939,-1.5035
2025-08-03T20:00:00Z,-1.5035,-0.7173,-2.9789,-2.5967
2025-08-04T00:00:00Z,-2.5967,-1.6916,-3.3623,-1.8565
2025-08-04T04:00:00Z,-1.8565,-0.8816,-2.5201,-2.1279
2025-08-04T08:00:00Z,-2.1279,-1.2977,-3.4195,-1.958
2025-08-04T12:00:00Z,-1.958,-0.7392,-3.3601,-2.3895
2025-08-04T16:00:00Z,-2.3895,-1.8033,-3.6658,-2.1918
2025-08-04T20:00:00Z,-2.1918,-1.2809,-3.6466,-3.1129
2025-08-05T00:00:00Z,-3.1129,-2.1118,-3.8311,-3.4264
2025-08-05T04:00:00Z,-3.4264,-1.9819,-4.2979,-2.1971
2025-08-05T08:00:00Z,-2.1971,-1.6691,-2.9436,-1.7659
2025-08-05T12:00:00Z,-1.7659,-0.9009,-2.5205,-2.0596
2025-08-05T16:00:00Z,-2.0596,-0.7658,-3.2132,-1.8694
2025-08-05T20:00:00Z,-1.8694,-1.3432,-2.728,-1.354
2025-08-06T00:00:00Z,-1.354,-0.2412,-2.7398,-2.0884
2025-08-06T04:00:00Z,-2.0884,-1.5606,-3.075,-2.0302
2025-08-06T08:00:00Z,-2.0302,-1.4475,-3.1821,-1.7313
2025-08-06T12:00:00Z,-1.7313,-1.2,-2.4017,-1.7019
2025-08-06T16:00:00Z,-1.7019,-0.4911,-2.2808,-1.6515
